CASEID_NEW,highest_degree_received,education,head_of_household_indicator,household_size,housing_type,household_income,marital_status,msa_status,region_4,region_9,own_rent,members_lt_2,members_13_to_17,members_gt_18,members_2_to_5,members_6_to_12,employment_status,has_internet_access,bg_survey_date,age,children_in_hh,next_next_year,gender,race,hispanic,out_of_closet,political_affiliation,born_again,religion,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight_couples_coresident,glb_status,same_gender_partner,partner_latino,partners_race,partner_born_again,partners_religion,partners_relgion_same_as_age_16,partners_religion_at_16,partners_highest_education,partners_mothers_highest_education,partners_political_affiliation,religion_same_as_age_16,religion_at_16,mothers_highest_education,most_time_spend_living_in,relatives_seen_per_month,gender_attraction,has_domestic_partnership,has_civil_union,no_domestic_partnership_or_civil_union,age_when_met,age_when_relationship_started,age_when_moved_in_together,age_married,age_when_domestic_partnership,who_earned_higher_income,attended_same_high_school,attended_same_college,grew_up_in_same_town,knew_parents_first,met_at_work,met_at_school,met_at_church,met_via_personal_ad,met_on_vacation,met_at_bar,mat_at social_club,met_at_private_party,met_at_other,met_at_other_text,met_using_internet,intro_by_family,intro_by_friend,intro_by_coworker,intro_by_classmates,intro_by_neighbor,intro_by_self,intro_by_other,intro_by_other_text,met_online,intro_summary_codes,how_met_online,same_gender_partner2,partner_gender,partner_gender2,age_difference,zip_pct_white,zip_pct_black,zip_pct_hispanic,zip_median_income,zip_pct_foreign_born,zip_rural,HOW_LONG_AGO_FIRST_MET_CAT,highest_earning_gender,same_religion,target_survey_dt,survey_date,marriage_count_combined,time_since_met,time_since_romantic,time_since_cohab,time_since_first_relationship,broke_up,acquainted_before_dated,lived_together_before_married,time_dating_until_married,time_met_until_married,time_met_until_dating,been_divorced,currently_married,living_together,income,couple_religion
22526,bachelors degree,bachelor's degree or higher,1,2,a building with 2 or more apartments,"$20,000 to $24,999",living with partner,metro,midwest,east-north central,rented for cash,0,0,2,0,0,not working - looking for work,1,2009-05-01,53.0,2.0,2011,female,hispanic,"yes, other spanish/hispanic/latino","yes, friends",democrat,yes,catholic,4265,4265,4265,5618,7505,3576,3576,634.354187,1,"yes, we are a same-sex couple",no (not latino or hispanic),white,no,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","yes, the same",,associate degree,hs graduate or ged,democrat,"no, i have changed religions","protestant (e.g. methodist, lutheran, presbyterian, episcopal)",bachelor's degree,united states,0,same gender mostly,no,no,have neither dp nor cu,45,45.0,45, , ,partner earned more,different high school,did not attend same college or university,no,no,no,no,no,yes,no,no,no,no,no,0,"yes, a different kind of internet service",refused,refused,refused,refused,refused,refused,refused,0,met online,2,previously strangers: before online connection respondent and partner were strangers,same-sex couple,,female,4,92% and higher,1%-2.99%,<2%,$34000-$41999,2%-4.99%,non rural,6-10,male,false,2009-02-01,2011-04-01,1.0,9.161643835616438,9.161643835616438,9.161643835616438,9.161643835616438,0,0.0,,,,0.0,1,0,1,22499.5,catholic/protestant
22526,bachelors degree,bachelor's degree or higher,1,2,a building with 2 or more apartments,"$15,000 to $19,999",living with partner,metro,midwest,east-north central,rented for cash,0,0,2,0,0,not working - looking for work,1,2011-07-01,56.0,2.0,2013,female,hispanic,"yes, other spanish/hispanic/latino","yes, friends",democrat,yes,catholic,4265,4265,4265,5618,7505,3576,3576,634.354187,1,"yes, we are a same-sex couple",no (not latino or hispanic),white,no,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","yes, the same",,associate degree,hs graduate or ged,democrat,"no, i have changed religions","protestant (e.g. methodist, lutheran, presbyterian, episcopal)",bachelor's degree,united states,0,same gender mostly,no,no,have neither dp nor cu,45,45.0,45, , ,partner earned more,different high school,did not attend same college or university,no,no,no,no,no,yes,no,no,no,no,no,0,"yes, a different kind of internet service",refused,refused,refused,refused,refused,refused,refused,0,met online,2,previously strangers: before online connection respondent and partner were strangers,same-sex couple,,female,4,92% and higher,1%-2.99%,<2%,$34000-$41999,2%-4.99%,non rural,6-10,male,false,2011-04-01,2013-03-01,1.0,11.07945205479452,11.07945205479452,11.07945205479452,11.07945205479452,0,0.0,,,,0.0,1,0,1,17499.5,catholic/protestant
23286,professional or doctorate degree,bachelor's degree or higher,1,2,a building with 2 or more apartments,"$100,000 to $124,999",married,metro,west,pacific,rented for cash,0,0,2,0,0,working - as a paid employee,1,2009-04-01,29.0,2.0,2011,female,"white, non-hispanic","no, i am not","yes, both",democrat,no,jewish,16485,16485,16485,8383,11198,10241,10241,9589.90625,1,"yes, we are a same-sex couple",no (not latino or hispanic),white,no,none,"no, has changed religions",other christian,bachelor's degree,bachelor's degree,democrat,"no, i have changed religions",jewish,professional or doctorate degree,united states,0,both genders equally,yes,no,have either dp or cu,19,20.0,22,23,26,i earned more,different high school,attended same college or university,no,no,no,yes,no,no,no,no,no,no,no,0,"no, we did not meet through the internet",no,no,no,yes,no,no,no,0,met offline,4,,same-sex couple,,female,2,<55%,20% or more,4%-19.99%,$42000-$64999,12%+,non rural,6-10,female,false,2009-02-01,2011-04-01,1.0,11.161643835616438,10.161643835616438,8.161643835616438,10.161643835616438,0,1.0,1.0,3.0,4.0,1.0,0,1,1,112499.5,other different
23286,professional or doctorate degree,bachelor's degree or higher,1,2,a one-family house attached to one or more houses,"$85,000 to $99,999",living with partner,metro,west,pacific,rented for cash,0,0,2,0,0,working - as a paid employee,1,2011-06-01,32.0,2.0,2013,female,"white, non-hispanic","no, i am not","yes, both",democrat,no,jewish,16485,16485,16485,8383,11198,10241,10241,9589.90625,1,"yes, we are a same-sex couple",no (not latino or hispanic),white,no,none,"no, has changed religions",other christian,bachelor's degree,bachelor's degree,democrat,"no, i have changed religions",jewish,professional or doctorate degree,united states,0,both genders equally,yes,no,have either dp or cu,19,20.0,22,23,26,i earned more,different high school,attended same college or university,no,no,no,yes,no,no,no,no,no,no,no,0,"no, we did not meet through the internet",no,no,no,yes,no,no,no,0,met offline,4,,same-sex couple,,female,2,<55%,20% or more,4%-19.99%,$42000-$64999,12%+,non rural,6-10,female,false,2011-04-01,2013-03-01,,13.07945205479452,12.07945205479452,10.07945205479452,12.07945205479452,0,1.0,1.0,3.0,4.0,1.0,0,0,1,92499.5,other different
28536,bachelors degree,bachelor's degree or higher,1,2,a one-family house detached from any other house,"$100,000 to $124,999",living with partner,metro,midwest,west-north central,owned or being bought by you or someone in your household,0,0,2,0,0,working - as a paid employee,1,2009-04-01,55.0,2.0,2011,male,"white, non-hispanic","no, i am not","yes, friends",democrat,no,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",1924,1924,1924,1748,2335,1517,1517,1280.037231,1,"yes, we are a same-sex couple",no (not latino or hispanic),white,no,none,"no, has changed religions",baptist - any denomination,master's degree,"some college, no degree",democrat,"yes, the same",,master's degree,united states,1,same gender mostly,no,no,have neither dp nor cu,41,41.0,41, , ,i earned more,different high school,did not attend same college or university,no,no,no,no,no,no,no,no,no,no,yes,1,"no, we did not meet through the internet",no,no,no,no,no,no,yes,1,met offline,1,,same-sex couple,,male,2,80%-91.99%,3%-19.99%,4%-19.99%,$42000-$64999,5%-11.99%,non rural,11-15,male,false,2009-02-01,2011-04-01,0.0,14.161643835616438,14.161643835616438,14.161643835616438,14.161643835616438,0,0.0,,,,0.0,0,0,1,112499.5,protestant/none
28536,bachelors degree,bachelor's degree or higher,1,2,a one-family house detached from any other house,"$125,000 to $149,999",living with partner,metro,midwest,west-north central,owned or being bought by you or someone in your household,0,0,2,0,0,working - as a paid employee,1,2011-07-01,57.0,2.0,2013,male,"white, non-hispanic","no, i am not","yes, friends",democrat,no,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",1924,1924,1924,1748,2335,1517,1517,1280.037231,1,"yes, we are a same-sex couple",no (not latino or hispanic),white,no,none,"no, has changed religions",baptist - any denomination,master's degree,"some college, no degree",democrat,"yes, the same",,master's degree,united states,1,same gender mostly,no,no,have neither dp nor cu,41,41.0,41, , ,i earned more,different high school,did not attend same college or university,no,no,no,no,no,no,no,no,no,no,yes,1,"no, we did not meet through the internet",no,no,no,no,no,no,yes,1,met offline,1,,same-sex couple,,male,2,80%-91.99%,3%-19.99%,4%-19.99%,$42000-$64999,5%-11.99%,non rural,11-15,male,false,2011-04-01,2013-03-01,0.0,16.07945205479452,16.07945205479452,16.07945205479452,16.07945205479452,0,0.0,,,,0.0,0,0,1,137499.5,protestant/none
29584,professional or doctorate degree,bachelor's degree or higher,1,1,a building with 2 or more apartments,"$15,000 to $19,999",separated,metro,south,south atlantic,rented for cash,0,0,1,0,0,working - as a paid employee,1,2009-04-01,60.0,1.0,2011,male,"white, non-hispanic","no, i am not","yes, both",democrat,no,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",3173,3173,3173,2812,3756,2630,2630, ,1,"no, we are an opposite-sex couple",no (not latino or hispanic),white,no,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","no, has changed religions",catholic,master's degree,"some college, no degree",democrat,"yes, the same",,"some college, no degree",united states,0,same gender mostly,,,,28,28.0,30,30, ,partner earned more,different high school,did not attend same college or university,no,no,yes,no,no,no,no,no,no,no,no,0,"no, we did not meet through the internet",no,no,yes,no,no,no,no,0,met offline,2,,different sex couple,,female,7,80%-91.99%,3%-19.99%,2%-3.99%,$42000-$64999,2%-4.99%,non rural,21-30,female,false,2009-02-01,2011-04-01,,32.16164383561644,32.16164383561644,30.161643835616438,32.16164383561644,0,0.0,0.0,2.0,2.0,0.0,1,0,0,17499.5,both protestant
29584,masters degree,bachelor's degree or higher,1,1,a building with 2 or more apartments,"$20,000 to $24,999",separated,metro,south,south atlantic,rented for cash,0,0,1,0,0,working - as a paid employee,1,2011-07-01,62.0,1.0,2013,male,"white, non-hispanic","no, i am not","yes, both",democrat,no,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",3173,3173,3173,2812,3756,2630,2630, ,1,"no, we are an opposite-sex couple",no (not latino or hispanic),white,no,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","no, has changed religions",catholic,master's degree,"some college, no degree",democrat,"yes, the same",,"some college, no degree",united states,0,same gender mostly,,,,28,28.0,30,30, ,partner earned more,different high school,did not attend same college or university,no,no,yes,no,no,no,no,no,no,no,no,0,"no, we did not meet through the internet",no,no,yes,no,no,no,no,0,met offline,2,,different sex couple,,female,7,80%-91.99%,3%-19.99%,2%-3.99%,$42000-$64999,2%-4.99%,non rural,21-30,female,false,2011-04-01,2013-03-01,,34.07945205479452,34.07945205479452,32.07945205479452,34.07945205479452,0,0.0,0.0,2.0,2.0,0.0,1,0,0,22499.5,both protestant
33536,professional or doctorate degree,bachelor's degree or higher,1,2,a one-family house attached to one or more houses,"$175,000 or more",living with partner,metro,west,pacific,owned or being bought by you or someone in your household,0,0,2,0,0,working - as a paid employee,1,2009-05-01,54.0,2.0,2011,male,"white, non-hispanic","no, i am not","yes, friends",democrat,no,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",3190,3190,3190,2954,3946,3177,3177,4520.868164,1,"yes, we are a same-sex couple",no (not latino or hispanic),black or african american,no,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","yes, the same",,master's degree,hs graduate or ged,democrat,"yes, the same",,bachelor's degree,united states,0,only same gender,no,no,have neither dp nor cu,38,38.0,38, , ,we earned about the same amount,different high school,did not attend same college or university,no,no,no,no,no,no,no,yes,no,no,no,0,"no, we did not meet through the internet",no,no,no,no,no,yes,no,0,met offline,1,,same-sex couple,,male,9,<55%,3%-19.99%,4%-19.99%,$34000-$41999,12%+,non rural,11-15,neither,false,2009-02-01,2011-04-01,0.0,17.161643835616438,17.161643835616438,17.161643835616438,17.161643835616438,0,0.0,,,,0.0,0,0,1,175000.0,both protestant
33536,professional or doctorate degree,bachelor's degree or higher,1,2,a one-family house attached to one or more houses,"$100,000 to $124,999",living with partner,metro,west,pacific,owned or being bought by you or someone in your household,0,0,2,0,0,working - as a paid employee,1,2011-07-01,56.0,2.0,2013,male,"white, non-hispanic","no, i am not","yes, friends",democrat,no,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",3190,3190,3190,2954,3946,3177,3177,4520.868164,1,"yes, we are a same-sex couple",no (not latino or hispanic),black or african american,no,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","yes, the same",,master's degree,hs graduate or ged,democrat,"yes, the same",,bachelor's degree,united states,0,only same gender,no,no,have neither dp nor cu,38,38.0,38, , ,we earned about the same amount,different high school,did not attend same college or university,no,no,no,no,no,no,no,yes,no,no,no,0,"no, we did not meet through the internet",no,no,no,no,no,yes,no,0,met offline,1,,same-sex couple,,male,9,<55%,3%-19.99%,4%-19.99%,$34000-$41999,12%+,non rural,11-15,neither,false,2011-04-01,2013-03-01,0.0,19.07945205479452,19.07945205479452,19.07945205479452,19.07945205479452,0,0.0,,,,0.0,0,0,1,112499.5,both protestant
